numberOfRooms,numberOfBedrooms,livingSpace,apartmentFloor,zipCode,price
3,1,100,2,75006,1998000
3,2,"49,6",1,75020,392000
4,2,100,1,75016,980000
3,2,63,6,75116,790000
2,1,"31,1",6,75020,288000
4,2,"81,5",2,75015,1290000
4,2,80,2,75005,1680000
5,4,96,7,75019,700000
4,3,81,4,75016,880000
3,2,58,3,75003,700000
4,3,79,4,750220,720000
3,1,61,5,75006,920000
3,2,"76,3",6,75016,795000
3,2,76,1,75013,650000
2,1,"37,9",5,75007,480000
3,2,50,2,75017,469000
2,1,"34,8",2,75019,288900
5,3,"101,8",3,75016,1099000
3,2,"78,1",2,75003,849000
2,1,"53,5",3,75003,740000
4,3,83,20,75013,570000
4,2,113,2,75016,1680000
2,1,24,5,75009,335000
3,2,61,1,75011,650000
2,1,51,7,75008,1270000
3,2,"80,5",3,75004,1195000
2,1,39,3,75004,585000
3,2,"61,3",6,75010,465000
5,3,108,1,75017,1430000
5,3,106,6,75014,1100000
2,1,29,2,75011,310000
2,1,"42,1",1,75016,535000
4,2,137,6,75016,1349000
3,1,49,2,75013,450000
2,1,37,5,75017,345000
2,1,"38,2",2,75007,535000
2,1,54,5,75016,548000
3,2,47,5,75015,427000
2,1,26,3,75019,265000
8,5,244,2,75017,3000000
2,1,33,5,75011,347000
5,3,88,6,75016,949000
3,2,70,1,75015,645000
3,2,61,3,75019,535000
2,1,50,6,75018,515000
2,1,39,4,75010,392000
5,2,84,4,75013,699000
1,6,Dernier,07,75017,43000
2,1,45,2,75011,485000
2,1,38,4,75018,431000
4,2,"73,7",3,75015,798000
3,2,"89,5",5,75012,1299000
4,3,122,5,75016,1795000
2,1,69,1,75010,795000
2,1,"54,6",1,75011,570000
5,4,105,5,75018,1226000
5,3,252,1,75016,2590000
5,4,148,5,75018,3195000
4,3,81,4,75013,960000
3,2,65,6,75018,1225000
4,2,87,4,75015,1049000
3,2,73,4,75015,699000
4,2,79,3,75016,924000
3,2,56,3,75015,529500
3,1,62,8,75015,530000
3,2,55,4,75004,735000
4,3,99,4,75020,1420000
5,4,148,5,75018,3195000
3,2,65,6,75018,1225000
4,3,"85,6",1,75020,1040000
4,2,76,1,75016,748000
5,3,76,1,75016,748000
5,4,159,5,75018,3495000
5,3,125,1,75009,1450000
4,3,116,4,75005,1100000
5,3,148,3,75013,1510000
2,1,"32,8",3,75011,336000
2,1,35,5,75017,315000
2,1,"37,8",1,75006,680000
3,2,66,29,75013,435000
2,1,28,6,75008,450000
2,1,"43,2",1,75019,369000
5,4,148,5,75018,3195000
2,1,33,1,75006,425000
2,1,44,5,75015,330000
2,1,51,4,75015,540000
2,1,52,4,75015,540000
2,1,"39,3",2,75020,393000
3,2,"50,8",4,75018,309750
2,1,45,4,75014,555000
2,1,42,7,75019,238300
2,1,48,1,75018,535000
3,2,65,6,75018,1225000
3,2,"66,2",2,75018,450000
3,2,42,5,75001,699000
3,2,52,2,75013,492000
4,3,95,5,75016,750000
2,1,25,4,75019,160000
2,1,42,2,75013,349000
2,1,30,6,75016,480000
2,1,32,5,75011,450000
2,1,36,1,75013,297000
3,2,65,6,75018,1225000
2,1,50,5,75016,995000
2,1,39,3,75006,700000
4,2,85,4,75015,720000
3,1,54,5,75008,630000
3,2,54,5,75009,630000
3,2,54,5,75017,630000
5,3,147,1,75116,1310260
5,4,158,5,75018,3495000
5,4,147,5,75018,3195000
3,2,72,9,75013,869000
2,1,25,3,75006,620000
4,3,100,2,75011,995000
3,2,65,6,75018,1225000
4,3,100,2,75012,995000
4,2,87,3,75016,760000
4,3,96,1,75016,1190000
4,2,89,4,75002,1155000
4,2,91,5,75015,1118000
2,1,32,1,75015,369000
2,1,41,6,75013,395000
3,2,"72,5",1,75011,810000
3,2,74,16,75019,651000
5,3,105,2,75018,899000
2,1,30,2,75004,480000
1,"33,3",RDC/5,11,75007,480000
5,4,"158,3",5,75018,3495000
4,3,74,5,75019,1141000
4,3,79,5,75019,1270000
5,4,201,1,75015,2620000
5,4,"147,2",5,75018,3195000
3,2,66,1,75019,520000
2,2,65,1,75012,949000
6,3,186,4,75007,3400000
4,2,"85,6",4,75011,1044100
3,1,69,4,75013,695000
3,2,92,3,75016,1699000
6,3,170,2,75116,2235000
4,3,67,1,75013,698500
2,1,46,2,75014,416000
2,1,40,1,75016,430000
2,1,46,2,75015,449950
3,2,62,3,75018,775000
4,1,79,2,75011,765000
5,3,108,11,75015,1175000
3,2,71,11,75013,830000
3,2,"62,3",5,75015,560000
3,2,64,2,75020,640000
2,1,"56,1",1,75006,1070000
3,2,"65,4",6,75019,520000
3,2,62,4,75002,930000
4,3,115,7,75018,1040000
3,2,44,2,75018,305000
2,1,24,5,75018,255000
4,3,111,3,75017,1290000
5,3,115,1,75005,2392000
4,3,114,2,75015,1092000
2,1,58,3,75015,690000
2,1,"27,1",3,75007,350000
2,1,53,4,75016,620000
3,1,58,5,75018,655000
2,1,63,3,75006,1090000
2,1,50,6,75002,610000
2,1,35,3,75018,336000
2,1,32,2,75015,298000
2,1,58,4,75008,871500
2,2,50,3,75004,655000
3,2,50,3,75004,790000
2,1,40,4,75016,490000
3,1,45,2,75018,493500
3,2,52,2,75018,680000
3,2,72,3,75010,813000
3,1,72,3,75010,813000
3,2,59,2,75018,625000
3,1,64,2,75011,556500
3,2,47,6,75018,378000
5,3,103,2,75018,1190000
3,2,49,3,75018,562000
2,1,37,3,75017,434000
4,2,"127,1",9,75008,2130000
4,2,100,6,75007,1890000
3,2,73,1,75015,990000
3,2,67,2,75014,560000
6,3,230,1,75016,3880000
6,4,"133,5",3,75020,1092000
7,5,243,3,75011,2392000
2,1,40,4,75019,385000
2,1,48,3,75004,595000
6,4,200,1,75016,1550000
4,3,88,5,75001,1250000
2,10,29,1,75011,328000
6,4,194,4,75016,2200000
3,2,55,1,75003,630000
4,2,90,2,75016,1350000
2,1,50,1,75003,650000
4,3,73,3,75015,875000
3,2,93,7,75013,920000
3,1,48,3,75014,447000
2,1,45,4,75014,378000
2,1,51,2,75010,529935
1,1,9,7,75017,100000
5,3,"150,5",1,75010,1340500
2,1,50,1,75006,740000
1,21,Étage,11,75002,269500
5,3,108,2,75010,899000
4,3,87,2,75116,1260000
2,1,57,5,75012,520000
1,1,27,5,75018,288750
4,3,"117,1",2,75003,1380000
3,2,49,3,75014,447000
2,1,33,6,75011,380000
2,1,30,5,75003,418000
3,2,61,13,75020,399000
2,1,37,3,75018,250000
4,2,110,1,75015,950000
3,2,78,1,75020,827000
2,1,"30,2",5,75017,290000
4,3,88,3,75019,825000
3,2,43,1,75010,415000
3,2,46,1,75010,510000
2,1,26,1,75005,310000
4,3,101,1,75015,910000
2,1,29,1,75006,395000
2,1,26,1,75020,229000
3,2,53,5,75004,649000
4,2,87,3,75009,950000
3,2,73,7,75008,1590000
3,2,"49,9",4,75015,535000
5,2,"118,5",1,75006,1890000
5,3,"125,3",3,75009,1490000
5,4,90,1,75020,789000
2,1,28,3,75019,325000
3,2,70,5,75020,639000
2,1,24,5,75018,230000
3,2,"65,6",4,75018,706000
1,1,26,1,75017,282000
2,1,43,4,75018,399000
2,1,50,6,75016,470000
5,3,194,3,75020,2080000
3,2,71,3,75014,650000
2,1,"38,1",2,75015,350000
2,1,"43,6",1,75015,483000
3,2,59,3,75020,560000
2,1,45,3,75019,425000
3,2,55,2,75015,550000
4,2,125,7,75019,975000
2,1,35,1,75011,470000
3,3,67,4,75009,795000
3,2,66,4,75013,600000
4,2,66,4,75013,600000
3,1,60,3,75003,800000
3,1,89,1,75018,550000
2,1,"44,2",5,75006,595000
3,2,93,1,75017,990000
2,1,"49,4",1,75017,472014
3,2,91,5,75008,2400000
5,3,79,6,75005,945000
3,2,59,1,75011,650000
2,1,25,2,75012,280000
2,1,56,3,75006,920000
2,1,41,2,75014,400000
8,5,290,2,75008,4530000
8,5,208,2,75006,3400000
3,2,46,5,75014,500000
2,1,51,1,75014,506000
4,2,111,5,75018,1560000
6,4,165,1,75009,1560000
2,1,"49,2",2,75017,485000
6,4,242,2,75116,3990000
3,1,74,3,75006,1450000
3,2,"41,2",1,75017,359000
4,2,"76,6",1,75015,730000
2,1,53,3,75012,472500
2,1,38,2,75005,480000
3,2,"64,4",6,75018,1225000
4,3,"88,5",11,75018,596850
5,3,171,5,75007,3350000
2,1,45,1,75008,478000
3,2,55,5,75015,500000
3,2,"65,9",4,75006,1120000
2,1,"39,8",3,75010,358000
3,2,90,2,75016,940000
4,2,74,1,75018,730000
